PERSON,PLACE,ORGANIZATION
Errol Wang,Barberà del Vallès,Association ‘’non au pillage de nos ressources’’
Antoine Duverney,Navia,Jewelry
Emmy-Rose Alves,Dhaurahra,Salam
Djulyan Durant,Pāliyād,Zone franche
Mercy Constant,Capiago-Intimiano-Olmeda,Cartel de drogue
Dina Clavier,Chur,non à la maltraitance du sexe masculin
Houraye Pereira,Lanzhou,Association des consommateurs de produits high-tech
Aïron Allen,Sivrihisar,Association Energie Verte
Sevilay Walker,Urbania,Police
Florella John,Shortlands,Police
Jemy Alibert,Ras Al Khaimah City,Police
Constance Dupuis,Faaa,SAMLIM
Ive Hill,Chiguayante,Nuage de Délice
Johary Deneuve,Newcastle,Let's slide
Ghiles Lewis,White City,Comité Canadien pour la Lutte contre la COVID-19
Dijle Martin,Cascade,UPD
Daphnee Zhang,La Orotava,Liberté et Paix pour l’Italie
Florella John,Draa Ben Khedda,Collectif des Marcheurs Silencieux
Briec Chazal,Templeton,OSM
Amra Couatarmanach,Nilsiä,UPDN
Emmy-Rose Alves,Goodmayes,Arabie Saoudite
Onss Alves,Shahe,Organisation contre le racisme
Kinzy Parker,Tikhoretsk,LifeX
Denis Leguerrec,Sonāmura,Parti de la Jeunesse Consciente Émancipée
Pierre-Henri Clark,Bayview Village,Lutabac
Rhaled Liu,Langerwehe,Event Succes
Placida King,Amalāpuram,Sells
Maxime John,Stęszew,Angel
Corynne Mohamed,Badak,Agence nationale de la gestion du Foncier
Rilana Rodríguez,Sohāgpur,Pour la Vie et l’Honneur
Noel Liu,Mirnyy,Agrichimo
Ilyan Wilson,Rexdale-Kipling,familles nombreuses
Joddie Dufour,Solnechnogorsk,Dragon Rouge
Abdelhaziz Davis,Hadsten,NOZA
Suren Pautrat,Kibaya,Respecte ma Vie Privée
Bendjy Rodríguez,Yên Vinh,Jump
Guy-Michel Parker,Retford,Association ‘’Stop aux harcèlements sur le lieu de travail ’’
Annyssa López,Imperial,Mairie
Muge Taylor,Burien,Association ‘’Non à la sécheresse de nos terres’’
Joslin Alves,Hayange,vivre en rêvant
Bruno Alves,Rāmpura,Catholiques
Abigael Dufour,Barrancas,EMH
Cléa Destresse,Shiqian,Ribelle
Silva Da,Quatro Barras,Finelife
Abdessatar Anderson,Werdohl,l’Association des magistrats de News York pour la défense des innocents
Iman Anderson,Lautoka,Sacie
Cathelyne Clark,Groß-Umstadt,Educ
Cyriann Ali,Cleja,Syndicat des Travailleurs et Ouvriers
Mariza Allen,Chojnice,Syndicat des Travailleurs Honnêtes
Luca Carter,Miura,DAKAR
Thibault Alekseï,Cabras,Université du Texas
Surya Trameur,Alhaurín el Grande,Parti de la Démocratie et de la Paix
Taina Miller,Surrey,association des propriétaires et co-propriétaires de Parktown
Balthazar Ahmed,Avtovo,Comité national de lutte contre les maladies endémiques
Nosredine Couatarmanach,Mpigi,Wave
Louysa Rivera,Ceiba,Association des mineurs de Chili
Enelya Peter,Fuzhou,Société Internationale de télécommunication aéronautique
Therise-Marie Clark,Puan,Monde chimique sans danger
Nidal Mohamed,Allanridge,Energy&life
Silva Da,Amontada,"une mère, une idole"
Athos Flores,Scituate,Les vrais amis de Charles
Halimatou Liu,Lecanto,Peaceland
Avzem Campbell,San Vincenzo,Université d'Oklahoma
Christalle Baker,Oftringen,Juridical Help
Lilye Anderson,El Cerrillo Vista Hermosa,Groupement des Femmes Libres de Praia
Lyess Rodríguez,Saint-Quentin-en-Yvelines,Vivre après un drame
Silva Da,Acton,Ordre des pharmaciens de France
Deeclan Rodríguez,Plainville,groupement Centre d'atterissage
Rina Durant,Khemisset,Lifecar
Thibault Alekseï,Pokrov,Dragon Rouge
Titziana Flores,Māchhīwāra,Liberté pour tous
Tessnim Thompson,Malaybalay,Association ‘’Non à l’avortement’’
Dixie Chazal,Calonne-Ricouart,Find Job
Mariano López,Tucson,CCV
Sidonia Gómez,Mainvilliers,SFD
Nurgul Destresse,La Ceja,Vêtements décents en Afrique
Anahe Dupuis,Balimbing,la gendarmerie nationale de Lomé
Franco Di,Hartland,Colegio Franco Mexicano
Noemie Müller,Mount Waverley,banque centrale
Alyce García,Chak Azam Sahu,voyager partout dans le monde
Amyne Simporé,Wittenau,Des chercheurs européens
Eogan Ahmed,Silves,Collectif des Scientifiques Éthiques
Marie-Olympe White,Dobruška,Gen tomorrow
Milena Trameur,Zürich (Kreis 6) / Oberstrass,Fondation Beta
Abdelhedi Rodríguez,Muro,Etat
Isatis Sánchez,Jhanjhārpur,courage pour tous
Dalilah Ibrahim,Brownsburg-Chatham,WOOP
Auguste Ferreira,Purcell,Sauvons l’enfance bienheureuse
Krisley Chen,Ban Talat Nua,Association « Espoir des hommes »
Feliciane Clavier,Porthcawl,Pour le Sang
Housnati Ferreira,Delaware,fondation LEE
Silva Da,Lake Barcroft,SILENCE
Reina Hassan,Rusape,Northwestern Memorial Hospital
Léna Trameur,Lecheng,Fédération des organisations des droits de l’Homme
Patrick Fernández,Hriňová,le préfet maritime
Fatya Capelani,Pasay,un pour tous
Sidonia Gómez,Dungarpur,Banque
Souraya Dupuis,Birmingham,Royal Oil
Gwenna Ali,Temirtau,Aqua.corp
Ansoumane Anderson,Alba Adriatica,groupement des commerçants locataires
Santos Dos,Krutinka,Brigade des stupéfiants
Beyrem González,Guijuelo,ONG ’'Tous les enfants à l’école’’
Trissia Campbell,Douglass Hills,SRG
Joshua Clavier,Yueyang,Pompier
Chahra-Zed Wright,Eindhoven,"une femme, un enfant"
Emi Ferreira,Sector 3,PLMS
Seth Lewis,Vostochnyy,les sourds ont des droits
Marie-Rose Sánchez,Furmanov,JIAIL
Harry Durant,Wellard,Police
Tchelsy González,Martos,Logistique pétrolière
Therise-Marie Clark,Salon-de-Provence,La police
Fredo López,Chernyanka,Fondation Allen
Dempsey Couatarmanach,Wissen,livres pour Tous
Thibault Alekseï,Cherlak,Association pour les droits de l’Homme
I–zlem Nelson,Langueux,FileGen
Iyade Green,Atotonilco el Grande,Organisation guatémaltèque de la santé publique
Gulnur Phillips,Freetown,organisation antidrogue
Kossay Wang,Fatehpur,VIEW
Neri Roberts,Barugo,"mes cheveux, mon choix"
Jean-Eloi García,Dapeng,la gendarmerie de Toulouse
Agatha Constant,Monroe,SITEY
Cleandre Nguyen,Ijuw,Office national des secours
Maima Chapuis,Saedinenie,Forces d’intervention routière
Salah-Eddin Jones,Sicklerville,Pompier
Claudinette Torres,Massillon,mille feuilles
Keïlan King,Tallulah,PORTA
Silva Da,Nobeoka,ROUDEX
Icare Smith,Thame,Pesticides bios sûrs
Tehillah Thomas,Bendale,"une femme, un enfant"
Florimond Peter,Cabimas,Triomphes de Femmes
Kenjee Green,Joypur Hāt,Aidons les chimistes bénévoles
Benali Liu,Allentown,fondation LEE
Denis Leguerrec,Rohini,Phytosanus plus
Arthur Abert,Três Pontas,Voling
Cléa Destresse,Ocniţa,orphelinat « toujours amis »
Abderahime King,Gizo,helping
Tobias Green,Upi,hôpital Regent
Ishan Lewis,Clackamas,Police
France-Line García,Bantul,Centrale nucléaire bienveillante du Japon
Marie-Clothilde Taylor,Medinīpur,Raffinerie Bénévole Suisse
Arkia Sauvage,Ulverstone,service des enquêtes en télécommunication
Shahan Wright,Lago da Pedra,Indiana Hospis
Jazz Zhang,Jicaltepec Autopan,Pluton petroleum
Gibril Robinson,Rio Grande City,Agence nationale de lutte contre les accidents chimiques
Saliah Miller,Coacalco,My Nucléis Mont
Charles Joseph,Passos,directeur local de la Protection civile
Yacime Chazal,Bohinjska Bistrica,FOX
Syloe Alves,Larnaca,« Chen industrie »
Aloyse Zhang,Blaye,Centre de Formation Culinaire de Londres
Josephine Pereira,Apollo Beach,Collectif des Bons Soignants
Lievine Rodríguez,Toms River,syndicat de lutte contre le racisme
Ishan Lewis,Villa Zaragoza,cellule nationale de riposte aux urgences sanitaires
Florville Dassault,‘Āhuimanu,SWATT
Petula Pérez,Zoutleeuw,Speedway
Noeline Martin,Birnin Kudu,Union Pacifique
Halimatou Liu,Caripito,Nos évènements culinaires russes
Zoel Walker,Eceabat,Pop Stay
Jeanina Müller,Santiago de Chuco,Urgence domestique Irlande
Carlos Peter,Laguna Paiva,non au racisme
Birante Simporé,Cul de Sac,Front national pour Paix
Francelyne Capelani,Osprey,Trainvel
John-Lee Clavier,Sadova,British Off-road Cup
Kayssan Walker,Matsumoto,ordres du 1er secours
Reihan Ibrahim,Rowville,Association ‘’Mères battantes’’
Charazed Jackson,Aszód,Bank Helios
Sebastien Couatarmanach,Pogranichnyy,Action-Paix
Anahe Dupuis,Sallisaw,Etat
Defne Li,Hückeswagen,Décor'art
Kina Evans,Koesan,marine tunisienne
Ellea Walker,Golders Green,association des blessés de mer
Assya Torres,la Font d'en Fargues,Chimix.corp
Jakie Roberts,Halluin,non à la consommation du tabac
Redan Ali,Badagara,Ministère des transports
Ferouse Pautrat,Timbuktu,Speedline
Ibrahim Dassault,Lalupon,ministère de la Santé
Anicia Pautrat,La Guancha,Pompier
Charles Laurent,Auray,Syndicat des Travailleurs Libres
Naylla Flores,Mégara,Pesticides bios sûrs
Brunel Jackson,Shupīyan,Organisation de la société civile
Agatha Constant,Rāmjībanpur,KFC
Lucman Turner,San Francisco,Tous contre la sédentarité
Priscyllia Hill,Lumding Railway Colony,Incarcération hautement sécuritaire
Feliciane Clavier,Mafeteng,Métalica Riders
Remicia Wang,Blandon,Minsitère de l'environnement
Redoine Ahmed,Pelagiada,S.L
Wolff Tellier,Mikkeli,ONG qui lutte contre la vente des stupéfiants
Carlos Peter,Fabrègues,ZIP
Marie-Elvire Martin,Santa María Ajoloapan,Ministère des transports
Carlos Peter,Hudson,Agricole pour tous
Chaïmaa Wilson,Jablonec nad Nisou,Police de la route
Elay Jackson,Dasing,Pompier
Yves-Alexandre Anderson,Clinton,K.A.D
Alphena Chen,Bernhardswald,Organisation académique chimique
Silva Da,Vasco da Gama,Mouvement pour des Habitations Sûres
Raimonde Rivera,Siteki,Dealer
Adonay Clark,Baggabag B,centre de recherche Tulin
Madona Laporal,Villaverde del Río,Justice for Brandon and Co
Mayly Parker,Río Blanco,Disons non au sucre
Azat Phillips,Soumagne,Orphelinat « Bonne Avenir »
Estellia Chen,Dengi,Association des handicapés de Bangkok
Speranza Constant,Bachi-Yurt,Labtech
Elzeard Rivera,Ortaköy,non à la pollution
Abdessatar Anderson,Varca,syndicat des douaniers
Malyk Peter,San Rafael,Mouvement Écolo de Praia
Grégoire Laporal,Snyder,Raffinos
Stevane Deneuve,Auburn,association pour la défense de la faune
Sarida González,Dietenhofen,Force de l'ordre
Oumelkheir Miller,St Anne,La Dernière Justice
Scott Jackson,Kourou,Paix et Liberté pour la Mauritanie
Euryale Müller,Tearce,Curlyhair
Wafaa Durant,Ciudad Valles,Orphelinat « Bonne Avenir »
Melissandre Dupond,Sosúa,Conseil National du Patronat
Grégoire Laporal,Werneck,BIOMAX
Shemsedine Baker,Minas de Marcona,Le gîte et le couvert pour les sans-abris
Sloann Zhang,Poşta Câlnău,motards à vie
Charles-Hugo Martin,Tselina,Ministère des transports
Joshua Clavier,Boiro,HealthCare
Juline Miller,Kemalpaşa,Mouvement de Lutte pour les Autochtones
Fredo López,La Lima,AirCorp
Maely Dupuis,Oborniki Śląskie,Force de l'ordre
Zdislaw Thompson,Ambazac,Centrale nucléaire socialiste de Russie
Hachemi Wang,Mill Creek,Cirque
Caty García,Kalutara,les hommes pleurent aussi
Thibault Alekseï,Dinan,non au racisme
Pierre-Jacques Lewis,Ternat,Ministère des transports
Bonko Sauvage,Kenneth City,IPSO
Britta Taylor,Chuckey,Au Nom de la Culture
Kaola Lee,La Paz,"Association ‘’Un foyer, un puits''"
Rokiya Capelani,Lárisa,Push It
Luken Wang,Chakvi,GlobalHealth
Melissandre Durant,Capim Grosso,Amicale « One Way »
Osman Smith,Póvoa de Lanhoso,CRUZ
Lailia Couatarmanach,Marsillargues,Archépuno
Ahmadou Walker,San Juan Cotzal,protégeons nos forêts
Ilenzo Rodríguez,Priyutnoye,XXE
Laura Chazal,Forest Park,Danfil
Conceicao Nelson,Erciş,Chimes révolutionnaires
Niyazi Li,Saint Joseph,Fury Custom
Naoh Ramírez,Coronel Vivida,Femmes indépendantes
Ceyhun López,Gersthofen,Help
Aissatou Hill,Novyy Rogachik,Jump
Kyllian Fernández,Kirchardt,Organisation Italienne des réfugiés
Ansoumane Anderson,Rothwell,Agence nationale d egestion des accidents CRBN
Alberthe Campbell,Scaër,Chercheur d'or
Rui Pereira,Jingui,CENN
Anziz Pérez,Hartsdale,pompiers
Tessnim Thompson,Barbacha,VOLM
Detlef Laporal,Las Piñas,Association des Constructeurs de Nanterre
Anddy Capelani,Ahome,Tous contre la sédentarité
Lauryana Destresse,Beiwangli,Parti pour la Liberté et les Valeurs
Maricka Wilson,Afipskiy,Fleurs et Nuages
Carole-Anne Smith,Shankargarh,Police
Almahdi Zhang,Bogalusa,help
Djamilatou Trameur,San Javier,Les Amis de la nature
Dina Clavier,Roseburg,TEC
Zeev White,Monticello,VAM
Kumba Martin,Vredendal,"Fête fauraine "" Magic Land """
Masire Green,Studley,Responsable sanitaire
Marie-Veronique Clark,Pornichet,"Liberté, Égalité et Bonne Gouvernance"
Basil Williams,Lebanon,Gazana
Fahel Alibert,Shuangfeng,"une forêt, un patrimoine"
Carlos Peter,Cardano al Campo,Cors-epiq
Petula Pérez,West Ham,Talents chimiques mexicains
Marie-Dolores Jackson,Yawa,Police
Adjila Thompson,Ogōri-shimogō,Les Justiciers de l’Ombre
Arthur Abert,Tiaret,LIVY
Gaddiel Taylor,Orden,Mairie
Joshua Clavier,Kurumul,Fédération nationale des associations de directeurs d'établissements et services pour personnes âgées
Mariano López,Vergiate,une couverture pour chaque SDF
Ghilas Ramírez,Mandāwar,FADRIM
Chrisla Lewis,Knivsta,Xfiles
Caty García,Valavanur,Ioni plus
Takine Davis,Malaiba,VAFI
Birante Simporé,Bennebroek,association des Travailleurs Expérimentés
Baligh Ali,Lander,Militaire
Laurent Chazal,Jockgrim,Police
Yoram Rodríguez,Calamba,Cité Verte
Franco Di,Valencia,Happy Family
Thibault Alekseï,Sierra Vista,vivre pleinement
Patrycja Moore,Kežmarok,Fuego
Laura Chazal,San Francisco Tecoxpa,Manger
Arjan Ramírez,Agatti,Parti pour l’Évolution
Thibault Alekseï,Moreno Valley,SQV
Boni Dufour,Steenwijk,Banque
Coryse Carter,Nasirabad,Institut Européen de la Recherche
Eloen Torres,Nanzhang Chengguanzhen,Serbie France
Noeline Martin,Muritiba,Police Maritime
Silla Evans,Allmannsdorf,Naryl
Velleda Wang,Velyka Novosilka,acteurs de la pédagogie pour la réalisation des projets d’études des élèves
Sebastien Couatarmanach,Dindigul,ANYMAL
Evens Rodríguez,Krasnye Baki,Maroc Essencia
Beria Martin,Lithia Springs,SOLV
Silva Da,Qaryat Sulūq,L'Observateur International
Santos Dos,Świdnik,services de sécurité de la tour
Matvey Mitchell,Sainte-Marie,Brigade en charge de la lutte contre la criminalité organisée
Phiby Harris,Dhanbad,Wane industry
Driss Laporal,Oberá,Union des Combattants pour la Paix
Anandi Leguerrec,Conselheiro Pena,livres pour chacun
Sevtap Young,Jipijapa,Lutabac
El-Habib Chazal,Metsemotlhaba,Disons non au sucre
Maima Chapuis,Yaiza,Union des Combattants pour la Paix
Denis Leguerrec,Ifo,"un étudiant, un métier"
Sayda Taylor,El Pedregal,Titanium
Laurent Chazal,Petauke,FNSR
Thibault Alekseï,Salamína,Fondation Arc
Jeanne-Rose Durant,Marienfelde,Foule
Ivanoe Nguyen,Grogol,Association « Espoir des hommes »
Lyllou Durant,Shchigry,Chercheur d'or
Silva Da,Williams,Axiep
Adim Hall,Barwāni,syndicats des avocats vétérans
Silva Da,San Pedro,Association des consommateurs de produits high-tech
Chanese Nguyen,West Gate,Fidèle
Harel Fernández,Littleton,association des boulangers de Paris
Arthur Fernández,Clawson,syndicat des agriculteurs
Walida Alibert,Castellane,"Front "" No Alcohol """
Laura Chazal,Orleans,"Université "" Moon High school """
Lola Lewis,Brixton Hill,armement russe
Silva Da,Biryulëvo Zapadnoye,RTOM
Kaito Thomas,Tayug,Milan Chimie universelle
Carlos Peter,Painesville,MAXCO
Enes Parker,Trutnov,CNE
Kayssan Walker,Zapfendorf,Parti Libre du Danemark
Nouah Simporé,Müncheberg,"un enfant, un abri"
Cléa Destresse,Ladismith,Police
Ahsan Carter,Kālāgarh Project Colony,Energy&life
Josephine Pereira,Kista,Pékin laborus
Ahron Mitchell,Chāndūr,Secours des Urgences Maritimes
Thibault Alekseï,Granite Bay,"un chat, une vie"
Melysa Laporal,Carrollton,Banque
Azat Phillips,Olfen,Syndic-agric
Madeline Duverney,Saint-Rémy-lès-Chevreuse,Xpeng
Alphonse Liu,Brühl,L’Institut espagnol de santé publique
Keina Wright,Slobozhans’ke,Joslin Nucléis
Blin Laporal,Popasna,Association ‘’des infectiologues de Belgique’’
Turquoise Gómez,São Benedito do Rio Preto,univers pour tous
Amytis Duverney,Amuquhu,groupement Centre d'atterissage
Josselyne Peter,Lethem,oui au récyclage
Anicet Laporal,Metlaoui,Forces armées
Mathusan Hall,Fort Drum,XXR
Muge Taylor,Spanish Lake,Brigade en charge de la lutte contre la criminalité organisée
Prele Scott,Kibiti,BOMO
Nidal Mohamed,East Liverpool,Bel avenir
Sevilay Walker,Milwaukee,Euro Asie Pétros
Bruno Alves,Negru Vodă,Push It
Eli Chapuis,Orşova,Aidons les chimistes bénévoles
Kaito Thomas,Kabanjahe,Pluton plus
Daphnee Zhang,Santana do Paraíso,non à la fumée
Niyazi Li,Marovoay,X5
Silva Da,Wangen,"Mon corps, mon choix"
Meïlie Li,Fortín de las Flores,Groupe de dealer de drogue
Amaru Rodríguez,Tha Ruea,VGT
Ismail Allen,Las Torres de Cotillas,Police
Herminia Sauvage,Coventry,TOLIMANA
Americo Rodríguez,Norton Shores,Républicains
Damien Abert,Uniondale,livres pour chacun
Cléa Destresse,Anastácio,Taste Me Groom
Pierre-Henry Ramírez,Biloli,Espoir et Vie
Laouny Simporé,Dome,journalistes
Taïla Jones,Bochum,Parti Démocratique pour le Changement
Samirha Rodríguez,Songkhla,Parti Démocratique pour le Changement
Antonie Moore,Zehdenick,association des anciens de l'Université
Silva Da,Sarikei,Association des Athlètes de la Normandie
Thibault Alekseï,Dallas,"Centre zoologique "" Cortana """
Coryse Carter,Yunak,Agence nationale de la gestion du Foncier
Anthia Taylor,Tombolo,Shalma Event
Constance Dupuis,Lone Grove,Jeunesse en Péril
Celya Walker,Songjiang,"Parti pour la Liberté, la Justice et l’Égalité des Classes"
Hamza Martin,Naraina,XCOR
Therise-Marie Clark,Kosan,S’Épanouir
Kamron Martin,Gerona,Yes We Corn
Adim Pérez,Orerokpe,enough
Thiana Lewis,Castelfranco di Sotto,Panthers
Iulia Torres,Bohodukhiv,HIMA
Noeline Martin,Shibīn al Kawm,Association des Constructeurs de Nanterre
Ily González,Curup,Reporters d’images de cocktail
Kursley Müller,Maubin,Civil Rights
Khoudjedji Gómez,Güdül,cellule accidents chimiques et biologiques
Tou Hall,Akbarābād,Varsovie Sécuritis
Ginella Wright,Somotillo,Santé pour tous
Nataniel Wright,Moldava nad Bodvou,chercheurs traditionnels
Feliciane Clavier,Horten,banque centrale
Rezan Chen,Khouribga,La Pyramide
Tunahan Carter,Qiaoguan,JIAIL
Odric Joseph,Agawam,enjoy
Chahra-Zed Wright,Otrokovice,Fast Custom
Muge Taylor,Großkarolinenfeld,Pompier
Lewan Smith,Rosenfeld,FIREMEN FORCE
Martin Deneuve,Röbel,FIR
Wafa Fernández,Sindi,Shepha
Deborah Müller,Hooper,Ong américaine « Health »
Joss John,Ignacio Zaragoza,"Parti pour la Liberté, la Justice et l’Égalité des Classes"
Anes Tellier,Washington,Agence nationale de santé publique
Ildefonso Miller,Binissalem,Lifecar
Kainan González,Artvin,Avenir d'Afrique
Florella John,Phnom Penh,Recherche d’élite d’Australie
Keïlan King,Al Jubayhah,Dealer
Amantine Müller,Zacamulpa,Institut des chercheurs d’élite de londres
Dianna Destresse,Santiago,Touriste
Meïna Zhang,Gourock,UPD
Balsam Smith,Teotihuacán de Arista,Reporters d’images de cocktail
Jose-Pierre Ferreira,Tecax,Non aux risques chimiques parisiens
Elohane Nguyen,Albertville,ONG rezo-santé
Yosr Hernández,Paramount,Teenage-chemist
Adonaï Sánchez,Matias Barbosa,HONEY
Mohammed-Taha Miller,Berkeley,Association des handicapés
Enimie Mohamed,Querfurt,Société Nationale de l'Energie Nucléaire
Jaimie Carter,Carolina,Association Allemande des serveurs de repas
Ludmina Parker,Skidel’,protégeons nos forêts
Mirza Johnson,Purpe,Forces de Libération Flamandes
Khardiata Roberts,Ligny-en-Barrois,"Association ‘’Une moto, un casque"
Fauste Dufour,Juan L. Lacaze,Jewelry
Jonathann Trameur,Holíč,ONG A.L.P
Belkiss Miller,Columbiana,Cartel
Romualde Clavier,Rees,Janus petroleum
Thibault Alekseï,Tham Phannara,Soins sanitaires pour tous
Fayssal Tellier,Kainantu,Police
Margarete Davis,Danbao,univers pour tous
Aouali Thompson,Consuegra,CHGT
Aliana Ahmed,Little Hulton,Agros plus
Johannes Tellier,Braunton,Parti de la Jeunesse Consciente Émancipée
Grégoire Laporal,Moche,ONG Philantropist
Santos Dos,Karakul’,Association des producteurs de Vin de Liège
Arkia Sauvage,Nimāparha,ONG Alliance
Zlatko Robinson,Harrison,"un homme, un devoir"
Jean-Cedric Liu,Beihai,Unis pour tous
Emmy-Rose Alves,Punao,Yes We Corn
Franco Di,Luanco,Agence Nationale de Sécurité Routière
Jack Tellier,Bentong Town,Organisation internationale centrales nucléaires sécurisées
Marie-Rose Sánchez,Goole,Horizon
Silva Da,Jiachuan,"un livre, une vie"
Antoine Duverney,Kladno,Giving Rights
Zdislaw Thompson,Iradan,ensemble contre la malnutrition
Djael Rodríguez,Giv'at Shmuel,direction départementale de la santé
Vangelis Ibrahim,North Bel Air,ministre de la Sécurité
Beyrem González,Vorob’yovo,Chimico-mexico
Loranne Walker,Habo,Ministère du commerce
Silva Da,Caohui,MATRIX NUCLEIS
Carlos Peter,Neustadt an der Waldnaab,Services du premier secours
Pinda Allen,Terryville,Cors-epiq
Raky Carter,Daru,Happymals
Amrine Alibert,Jianlong,HATC
Mikal Chazal,Kushnarënkovo,Labri plus
Magdaleina Dufour,Haselbachtal,Police
Djack Müller,Steinheim,Nouvelle chapitre
